name,url,category
Adobe Flash Builder,https://www.adobe.com/products/flash-builder-family.html,Tool
Adobe Systems,https://www.adobe.com/,Tool
AFNIC,https://www.afnic.fr/,Tool
Airtable,https://airtable.com/,Tool
Alchemy CMS,http://alchemy-cms.com,Tool
Alfresco,http://www.alfresco.com,Tool
AlternC,http://www.alternc.com,Tool
Altitude3.Net,http://altitude3.net,Tool
Amazon Web Services,https://aws.amazon.com/,Tool
Ametys CMS,http://www.ametys.org,Tool
AmigaOS,https://www.amigaos.net,Tool
Android,https://www.android.com/,Tool
Android Studio,https://developer.android.com/studio,Tool
AnyChart,https://www.anychart.com,Tool
AOLserver,http://aolserver.github.io/,Tool
Apache 2.0,https://www.apache.org/licenses/,Tool
Apache Allura,https://allura.apache.org,Tool
Apache Foundation,https://apache.org,Tool
Apache Jackrabbit,https://jackrabbit.apache.org/,Tool
Apache License,https://www.apache.org/licenses/,Tool
Apache License 2.0,https://www.apache.org/licenses/,Tool
Apache OFBiz,https://ofbiz.apache.org,Tool
Apache OpenOffice Calc,http://openoffice.org,Tool
Apache OpenOffice Writer,http://openoffice.org,Tool
Apache Roller,https://roller.apache.org/,Tool
Apache Sling,https://sling.apache.org,Tool
Apache Subversion,https://subversion.apache.org/,Tool
Appcelerator,https://www.appcelerator.com,Tool
Apple iWork,http://www.apple.com/iwork/,Tool
Aptana Studio,http://www.aptana.com,Tool
Arduino,https://www.arduino.cc/,Tool
arXiv,https://arxiv.org/,Tool
Asana,https://asana.com,Tool
ASP.NET,https://dotnet.microsoft.com/en-us/apps/aspnet,Tool
Assembla,https://get.assembla.com/,Tool
Atari ST,http://www.atari.st/,Tool
Atom,https://atom.io,Tool
ATutor,https://atutor.github.io,Tool
auDA,http://auda.org.au,Tool
AWS Aurora,https://aws.amazon.com/rds/aurora/,Tool
b2evolution,http://www.b2evolution.net/,Tool
Backbone.js,https://backbonejs.org/,Tool
Backdrop CMS,https://backdropcms.org,Tool
Bare Bones Software,https://www.barebones.com,Tool
Basic-256,http://basic256.org,Tool
Bazaar,https://bazaar.canonical.com/,Tool
Bloomreach Experience Manager,https://www.bloomreach.com/en,Tool
blosxom,http://blosxom.sf.net/,Tool
BLOX CMS,http://www.bloxdigital.com,Tool
Bluefish,https://bluefish.openoffice.nl,Tool
Bluehost,http://bluehost.com,Tool
BlueJ,https://bluej.org/,Tool
Bolt (CMS),https://docs.bolt.cm/4.0/getting-started/requirements,Tool
BON,https://www.bon-method.com,Tool
Borland,http://borland.com,Tool
Borland Kylix,http://www.borland.com/kylix/,Tool
Brackets,http://brackets.io/,Tool
Bricolage,http://www.bricolagecms.org/,Tool
BSD,https://cgit.freebsd.org/src/plain/share/misc/bsd-family-tree,Tool
BSD 3-clause,https://cgit.freebsd.org/src/plain/share/misc/bsd-family-tree,Tool
BusyBox,https://busybox.net/,Tool
C1 CMS,https://cms.orckestra.com/,Tool
Calligra Plan,http://calligra.org/plan/,Tool
Calligra Suite,https://calligra.org,Tool
Canonical,https://www.canonical.com,Tool
CEITON,https://ceiton.com,Tool
censhare,http://www.censhare.com/,Tool
ChromeOS,https://chromeos.google,Tool
Chromium,https://chromium.org/,Tool
Cincom,https://www.cincom.com,Tool
CIRA,https://cira.ca,Tool
Clarizen,http://clarizen.com,Tool
Cloud CMS,https://www.cloudcms.com/,Tool
CMS Made Simple,https://cmsmadesimple.org,Tool
CMSimple,https://www.cmsimple.org/en/,Tool
CNNIC,https://cnnic.cn,Tool
Coda,https://coda.io/,Tool
Code::Blocks,https://www.codeblocks.org/,Tool
Codeanywhere,https://www.codeanywhere.com,Tool
CodeLite,https://codelite.org,Tool
Codelobster,https://codelobster.com,Tool
Collabora Online,http://collaboraonline.com,Tool
ConceptDraw Project,https://www.conceptdraw.com/products/project-management-software/,Tool
Concrete CMS,https://www.concretecms.com/,Tool
Contentful,http://contentful.com,Tool
Contentverse,http://www.contentverse.com,Tool
Copper Project,http://copperproject.com,Tool
CoreMedia Content Cloud,http://www.coremedia.com,Tool
cPanel,https://www.cpanel.net,Tool
CVS,http://cvs.nongnu.org,Tool
CygnusEd,http://www.cygnused.de/index-en.php,Tool
Cygwin,https://cygwin.com/,Tool
CZ.NIC,http://www.nic.cz/en,Tool
